GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pro-manager,com.cs673olsum24.promanager,ProManagerApplication,8,7,0,0,3,2,1,2,1,2
pro-manager,com.cs673olsum24.promanager.serviceImpl,ProjectServiceImplementation,306,3,8,0,76,1,9,1,5,1
pro-manager,com.cs673olsum24.promanager.serviceImpl,UserProjectServiceImplementation,165,3,10,0,42,1,8,1,3,1
pro-manager,com.cs673olsum24.promanager.serviceImpl,CommentServiceImplementation,63,3,0,0,16,1,4,1,4,1
pro-manager,com.cs673olsum24.promanager.dao,CommentDAO,117,6,0,0,25,3,4,1,4,1
pro-manager,com.cs673olsum24.promanager.dao,ProjectDAO.new PreparedStatementCallback() {...},7,0,0,0,2,0,2,0,2,0
pro-manager,com.cs673olsum24.promanager.dao,ProjectDAO.new PreparedStatementCallback() {...},7,0,0,0,2,0,2,0,2,0
pro-manager,com.cs673olsum24.promanager.dao,ProjectDAO.new PreparedStatementCallback() {...},7,0,0,0,2,0,2,0,2,0
pro-manager,com.cs673olsum24.promanager.dao,CommentDAO.new PreparedStatementCallback() {...},7,0,0,0,2,0,2,0,2,0
pro-manager,com.cs673olsum24.promanager.dao,CommentDAO.new PreparedStatementCallback() {...},7,0,0,0,2,0,2,0,2,0
pro-manager,com.cs673olsum24.promanager.dao,CommentDAO.new PreparedStatementCallback() {...},7,0,0,0,2,0,2,0,2,0
pro-manager,com.cs673olsum24.promanager.dao,UserProjectDAO.new PreparedStatementCallback() {...},7,0,0,0,2,0,2,0,2,0
pro-manager,com.cs673olsum24.promanager.dao,TaskDAO,279,6,2,0,54,3,5,1,4,1
pro-manager,com.cs673olsum24.promanager.dao,ProjectDAO,309,6,2,0,61,3,7,1,6,1
pro-manager,com.cs673olsum24.promanager.dao,UserProjectDAO,265,6,4,0,51,3,5,1,3,1
pro-manager,com.cs673olsum24.promanager.dao,TaskDAO.new PreparedStatementCallback() {...},7,0,0,0,2,0,2,0,2,0
pro-manager,com.cs673olsum24.promanager.dao,TaskDAO.new PreparedStatementCallback() {...},7,0,0,0,2,0,2,0,2,0
pro-manager,com.cs673olsum24.promanager.dao,ProjectDAO.new PreparedStatementCallback() {...},7,0,0,0,2,0,2,0,2,0
pro-manager,com.cs673olsum24.promanager.controller,CommentController,44,3,0,0,8,1,4,1,4,1
pro-manager,com.cs673olsum24.promanager.controller,UserProjectController,19,12,0,0,2,2,2,2,2,2
pro-manager,com.cs673olsum24.promanager.controller,ProjectController,27,21,0,0,3,3,3,3,3,3
pro-manager,com.cs673olsum24.promanager.controller,TaskController,28,3,0,0,3,1,3,1,3,1
pro-manager,com.cs673olsum24.promanager.entity,Projects,63,3,0,0,27,1,18,1,18,1
pro-manager,com.cs673olsum24.promanager.entity,ProjectTasks,70,3,0,0,30,1,20,1,20,1
pro-manager,com.cs673olsum24.promanager.entity,AppUser,28,3,0,0,12,1,8,1,8,1
pro-manager,com.cs673olsum24.promanager.entity,ProjectUser,42,3,0,0,18,1,12,1,12,1
pro-manager,com.cs673olsum24.promanager.entity,Comment,50,3,0,0,21,2,11,1,11,1
pro-manager,com.cs673olsum24.promanager.utils,JsonUtils,162,0,8,0,44,0,9,0,5,0
pro-manager,com.cs673olsum24.promanager.utils,ProjectUtils,25,0,2,0,4,0,5,0,4,0
